"X","Y","Z","Radius"
275.37,304.78,267.81,1.87
275.37,304.79,267.83,1.88
275.38,304.78,267.87,1.88
275.39,304.76,267.91,1.89
275.41,304.72,267.97,1.90
275.44,304.68,268.03,1.90
275.47,304.63,268.11,1.90
275.51,304.57,268.18,1.90
275.55,304.51,268.26,1.89
275.60,304.45,268.34,1.89
275.64,304.39,268.41,1.88
275.69,304.33,268.48,1.88
275.73,304.27,268.55,1.87
275.77,304.23,268.61,1.86
275.82,304.19,268.66,1.86
275.85,304.17,268.70,1.86
275.89,304.15,268.73,1.86
275.92,304.14,268.75,1.86
275.95,304.13,268.76,1.87
275.97,304.13,268.77,1.87
275.99,304.14,268.77,1.88
276.01,304.14,268.77,1.89
276.02,304.15,268.77,1.89
276.03,304.16,268.76,1.90
276.04,304.16,268.75,1.91
276.04,304.17,268.73,1.91
276.04,304.17,268.72,1.92
276.04,304.17,268.71,1.92
276.04,304.16,268.70,1.92
276.04,304.16,268.70,1.92
276.05,304.16,268.70,1.91
276.06,304.15,268.71,1.90
276.09,304.15,268.74,1.89
276.13,304.16,268.77,1.88
276.18,304.16,268.82,1.86
276.25,304.17,268.89,1.84
276.34,304.18,268.98,1.82
276.45,304.20,269.08,1.81
276.58,304.23,269.20,1.79
276.72,304.25,269.34,1.78
276.87,304.29,269.49,1.78
277.03,304.32,269.65,1.79
277.20,304.36,269.82,1.81
277.36,304.40,269.98,1.84
277.52,304.44,270.15,1.89
277.67,304.49,270.32,1.95
277.81,304.53,270.47,2.02
277.94,304.58,270.62,2.09
278.05,304.63,270.76,2.16
278.14,304.68,270.89,2.24
278.21,304.72,271.01,2.31
278.27,304.77,271.11,2.37
278.32,304.82,271.20,2.42
278.35,304.86,271.28,2.45
278.37,304.91,271.36,2.48
278.39,304.95,271.42,2.49
278.40,305.00,271.48,2.50
278.41,305.04,271.53,2.50
278.42,305.08,271.58,2.50
278.42,305.11,271.62,2.50
278.43,305.15,271.66,2.49
278.45,305.18,271.69,2.49
278.46,305.22,271.72,2.49
278.48,305.25,271.75,2.49
278.50,305.28,271.77,2.50
278.52,305.31,271.80,2.51
278.55,305.35,271.82,2.52
278.57,305.38,271.84,2.53
278.60,305.42,271.86,2.54
278.63,305.46,271.88,2.55
278.66,305.50,271.90,2.56
278.69,305.55,271.92,2.57
278.72,305.60,271.94,2.58
278.75,305.65,271.96,2.59
278.78,305.71,271.98,2.60
278.81,305.76,272.00,2.60
278.85,305.82,272.02,2.61
278.88,305.88,272.04,2.62
278.90,305.93,272.06,2.63
278.93,305.99,272.08,2.64
278.95,306.04,272.10,2.66
278.98,306.08,272.12,2.67
279.00,306.13,272.14,2.69
279.01,306.17,272.15,2.71
279.03,306.20,272.16,2.72
279.04,306.24,272.17,2.74
279.05,306.27,272.19,2.75
279.07,306.30,272.20,2.76
279.09,306.33,272.21,2.77
279.11,306.36,272.22,2.78
279.14,306.39,272.23,2.78
279.17,306.42,272.24,2.78
279.22,306.46,272.25,2.78
279.27,306.50,272.26,2.77
279.33,306.55,272.28,2.77
279.41,306.60,272.29,2.77
279.49,306.65,272.31,2.77
279.57,306.71,272.33,2.78
279.66,306.77,272.34,2.78
279.76,306.83,272.36,2.79
279.85,306.90,272.38,2.81
279.94,306.96,272.39,2.82
280.03,307.02,272.40,2.84
280.11,307.07,272.41,2.86
280.18,307.13,272.42,2.87
280.25,307.17,272.42,2.89
280.31,307.22,272.42,2.90
280.35,307.26,272.42,2.91
280.39,307.29,272.42,2.91
280.41,307.32,272.41,2.91
280.43,307.34,272.40,2.91
280.44,307.35,272.39,2.91
280.44,307.36,272.38,2.91
280.43,307.36,272.37,2.90
280.41,307.36,272.37,2.90
280.39,307.35,272.36,2.90
280.36,307.34,272.35,2.89
280.32,307.32,272.35,2.89
280.28,307.30,272.34,2.89
280.24,307.27,272.34,2.89
280.20,307.24,272.34,2.89
280.17,307.22,272.34,2.88
280.15,307.21,272.35,2.87
280.14,307.20,272.35,2.86
280.15,307.20,272.35,2.85
280.17,307.22,272.35,2.82
280.22,307.26,272.36,2.80
280.30,307.31,272.36,2.76
280.40,307.39,272.36,2.73
280.54,307.49,272.36,2.69
280.70,307.61,272.36,2.66
280.89,307.75,272.36,2.63
281.10,307.90,272.35,2.61
281.33,308.06,272.35,2.60
281.57,308.22,272.34,2.60
281.82,308.39,272.34,2.61
282.07,308.56,272.33,2.63
282.33,308.73,272.33,2.66
282.59,308.89,272.32,2.71
282.85,309.03,272.31,2.77
283.10,309.17,272.30,2.83
283.34,309.29,272.29,2.90
283.58,309.40,272.28,2.99
283.80,309.51,272.27,3.08
284.02,309.60,272.25,3.18
284.22,309.69,272.24,3.28
284.42,309.78,272.21,3.39
284.61,309.86,272.19,3.50
284.79,309.94,272.16,3.61
284.95,310.03,272.12,3.73
285.11,310.12,272.08,3.84
285.26,310.21,272.04,3.95
285.39,310.31,271.98,4.06
285.52,310.41,271.93,4.17
285.63,310.52,271.87,4.27
285.74,310.62,271.81,4.37
285.84,310.72,271.75,4.46
285.93,310.82,271.70,4.54
286.01,310.91,271.65,4.61
286.09,311.00,271.61,4.68
286.16,311.07,271.58,4.74
286.22,311.13,271.55,4.79
286.28,311.18,271.54,4.83
