"X","Y","Z","Radius"
304.76,361.42,295.87,6.26
304.83,361.47,295.89,6.26
304.88,361.52,295.90,6.26
304.92,361.57,295.92,6.26
304.95,361.61,295.95,6.26
304.95,361.65,295.97,6.25
304.93,361.68,296.00,6.24
304.90,361.71,296.03,6.23
304.86,361.73,296.07,6.22
304.82,361.75,296.10,6.20
304.78,361.77,296.14,6.18
304.76,361.78,296.17,6.16
304.75,361.80,296.21,6.14
304.77,361.81,296.25,6.12
304.83,361.82,296.28,6.09
304.92,361.83,296.32,6.06
305.06,361.84,296.35,6.03
305.26,361.85,296.38,6.01
305.51,361.86,296.41,5.98
305.80,361.87,296.44,5.95
306.14,361.89,296.48,5.93
306.50,361.92,296.52,5.91
306.88,361.96,296.57,5.91
307.26,362.01,296.64,5.91
307.64,362.07,296.72,5.92
308.01,362.15,296.82,5.93
308.36,362.25,296.95,5.96
308.68,362.36,297.09,6.00
308.96,362.50,297.27,6.05
309.19,362.66,297.47,6.10
309.38,362.84,297.70,6.16
309.53,363.04,297.95,6.22
309.65,363.25,298.21,6.29
309.75,363.47,298.48,6.36
309.83,363.70,298.75,6.44
309.90,363.93,299.01,6.51
309.97,364.16,299.26,6.60
310.05,364.38,299.49,6.68
310.14,364.60,299.69,6.77
310.25,364.81,299.87,6.86
310.39,365.00,300.00,6.95
310.56,365.18,300.10,7.04
310.75,365.34,300.16,7.13
310.97,365.50,300.18,7.22
311.21,365.64,300.18,7.32
311.47,365.77,300.15,7.42
311.75,365.89,300.11,7.51
312.04,366.00,300.04,7.61
312.34,366.11,299.96,7.71
312.65,366.22,299.86,7.81
312.96,366.32,299.76,7.91
