"X","Y","Z","Radius"
386.50,350.50,465.42,2.06
386.30,350.33,465.40,2.04
386.11,350.17,465.37,2.02
385.91,350.00,465.34,2.00
385.72,349.84,465.32,1.98
385.54,349.68,465.29,1.97
385.36,349.54,465.27,1.97
385.18,349.39,465.25,1.97
385.01,349.26,465.23,1.98
384.85,349.13,465.21,1.99
384.70,349.02,465.20,2.02
384.55,348.91,465.19,2.05
384.42,348.82,465.19,2.09
384.30,348.75,465.19,2.13
384.19,348.69,465.20,2.18
384.09,348.64,465.20,2.23
384.00,348.60,465.22,2.28
383.92,348.57,465.24,2.33
383.85,348.55,465.27,2.37
383.78,348.54,465.30,2.42
383.72,348.52,465.33,2.46
383.67,348.51,465.38,2.51
383.61,348.49,465.42,2.55
383.56,348.47,465.48,2.58
383.50,348.44,465.54,2.62
383.45,348.40,465.61,2.65
383.39,348.36,465.68,2.68
383.33,348.30,465.77,2.70
383.27,348.22,465.85,2.73
383.21,348.14,465.95,2.75
383.14,348.04,466.04,2.77
383.07,347.94,466.14,2.79
383.01,347.83,466.25,2.81
382.95,347.72,466.35,2.84
382.89,347.61,466.45,2.87
382.83,347.49,466.56,2.90
382.78,347.38,466.66,2.93
382.74,347.26,466.76,2.96
382.70,347.15,466.85,2.99
382.67,347.05,466.94,3.02
382.65,346.95,467.02,3.04
382.64,346.86,467.10,3.07
382.64,346.77,467.17,3.09
382.64,346.69,467.23,3.10
382.64,346.62,467.29,3.11
382.66,346.55,467.35,3.12
382.67,346.48,467.40,3.12
382.69,346.42,467.44,3.13
382.71,346.36,467.48,3.13
382.73,346.31,467.52,3.13
382.74,346.26,467.55,3.13
382.76,346.20,467.58,3.14
382.77,346.16,467.61,3.14
382.78,346.11,467.64,3.14
382.79,346.06,467.66,3.15
382.79,346.02,467.68,3.15
382.78,345.97,467.70,3.15
382.78,345.93,467.71,3.15
382.77,345.88,467.73,3.15
382.76,345.84,467.74,3.15
382.75,345.80,467.75,3.14
382.74,345.75,467.76,3.13
382.72,345.71,467.77,3.12
382.71,345.67,467.78,3.11
382.69,345.63,467.79,3.10
382.68,345.59,467.80,3.09
382.67,345.55,467.80,3.08
382.65,345.51,467.81,3.07
382.64,345.46,467.82,3.07
382.63,345.42,467.82,3.06
382.62,345.38,467.83,3.06
382.61,345.33,467.83,3.05
382.59,345.28,467.82,3.04
382.58,345.22,467.81,3.03
382.56,345.17,467.80,3.02
382.54,345.10,467.78,3.00
382.52,345.04,467.76,2.98
382.49,344.96,467.73,2.96
382.47,344.88,467.69,2.93
382.43,344.80,467.64,2.90
382.40,344.70,467.59,2.88
382.36,344.61,467.53,2.85
382.32,344.51,467.47,2.83
382.28,344.40,467.40,2.81
382.24,344.30,467.33,2.80
382.20,344.21,467.26,2.79
382.15,344.11,467.19,2.79
382.11,344.02,467.12,2.79
382.07,343.94,467.05,2.80
382.04,343.87,466.99,2.81
382.00,343.81,466.94,2.82
381.97,343.76,466.89,2.84
381.94,343.72,466.86,2.85
381.92,343.70,466.83,2.87
381.90,343.69,466.81,2.89
381.89,343.69,466.80,2.91
381.88,343.69,466.79,2.92
381.87,343.69,466.79,2.93
381.86,343.70,466.79,2.94
381.85,343.69,466.80,2.94
381.85,343.68,466.81,2.93
381.84,343.66,466.82,2.92
381.84,343.63,466.83,2.90
381.83,343.58,466.83,2.88
381.83,343.51,466.84,2.86
381.82,343.42,466.85,2.84
381.81,343.30,466.85,2.82
381.79,343.17,466.84,2.82
381.78,343.02,466.83,2.82
381.76,342.86,466.82,2.84
381.74,342.69,466.80,2.86
381.71,342.51,466.77,2.90
381.68,342.34,466.74,2.94
381.64,342.16,466.70,2.99
381.60,341.99,466.66,3.03
381.55,341.84,466.60,3.08
381.49,341.69,466.54,3.12
381.43,341.56,466.47,3.15
381.36,341.45,466.39,3.18
381.29,341.36,466.29,3.20
381.20,341.30,466.20,3.21
381.12,341.25,466.09,3.23
381.02,341.21,465.98,3.24
380.92,341.18,465.88,3.26
380.82,341.17,465.76,3.28
380.72,341.16,465.65,3.30
380.61,341.15,465.55,3.33
380.50,341.14,465.45,3.36
380.40,341.14,465.35,3.39
380.29,341.12,465.26,3.43
380.18,341.10,465.18,3.47
380.08,341.08,465.12,3.51
379.98,341.04,465.06,3.55
379.88,340.98,465.02,3.59
379.78,340.92,464.99,3.62
379.69,340.85,464.96,3.65
379.60,340.78,464.95,3.68
379.51,340.70,464.95,3.70
379.42,340.61,464.95,3.73
379.33,340.51,464.95,3.75
379.24,340.42,464.97,3.78
379.16,340.32,464.98,3.81
379.08,340.22,465.00,3.84
378.99,340.12,465.02,3.88
378.91,340.02,465.05,3.91
378.83,339.92,465.07,3.95
378.74,339.83,465.10,4.00
378.67,339.73,465.12,4.04
378.59,339.64,465.14,4.08
378.51,339.56,465.16,4.12
378.44,339.47,465.19,4.15
378.37,339.40,465.21,4.19
378.31,339.33,465.23,4.22
378.25,339.26,465.25,4.25
378.20,339.20,465.27,4.28
378.15,339.15,465.29,4.30
378.11,339.11,465.31,4.32
378.07,339.07,465.32,4.33
378.05,339.04,465.34,4.35
378.03,339.02,465.35,4.36
378.02,339.01,465.36,4.36
378.01,339.00,465.37,4.37
378.00,339.00,465.38,4.37
377.99,339.00,465.39,4.37
377.99,339.00,465.39,4.37
377.99,339.00,465.39,4.37
377.98,339.01,465.40,4.36
377.97,339.01,465.40,4.36
377.96,339.01,465.39,4.35
377.94,339.01,465.39,4.35
377.92,339.01,465.39,4.35
377.89,339.00,465.38,4.34
377.85,338.99,465.37,4.34
377.81,338.97,465.36,4.34
377.77,338.95,465.36,4.34
377.71,338.93,465.35,4.34
377.66,338.91,465.34,4.35
377.60,338.88,465.34,4.35
377.54,338.86,465.33,4.36
377.47,338.83,465.33,4.36
377.41,338.81,465.33,4.37
377.34,338.79,465.34,4.37
377.28,338.76,465.35,4.36
377.21,338.75,465.36,4.36
377.15,338.73,465.38,4.34
377.09,338.72,465.40,4.33
377.02,338.71,465.42,4.31
376.95,338.70,465.45,4.29
376.88,338.69,465.47,4.26
376.79,338.68,465.49,4.24
376.70,338.68,465.51,4.22
376.59,338.67,465.52,4.19
376.47,338.67,465.52,4.17
376.33,338.66,465.51,4.16
376.18,338.65,465.49,4.14
376.00,338.64,465.46,4.14
375.80,338.63,465.41,4.14
375.58,338.61,465.35,4.16
375.34,338.60,465.27,4.18
375.08,338.58,465.18,4.22
374.80,338.56,465.08,4.26
374.53,338.54,464.98,4.33
374.24,338.52,464.86,4.40
373.97,338.50,464.75,4.49
373.69,338.48,464.64,4.57
373.43,338.46,464.52,4.65
373.19,338.45,464.41,4.72
372.97,338.43,464.31,4.79
372.77,338.42,464.22,4.84
372.60,338.41,464.13,4.87
372.47,338.41,464.06,4.89
372.37,338.40,464.01,4.90
372.30,338.40,463.96,4.89
372.26,338.41,463.93,4.88
372.24,338.41,463.91,4.87
372.24,338.42,463.89,4.86
372.25,338.42,463.89,4.85
372.28,338.43,463.89,4.84
372.31,338.43,463.89,4.84
