input_id,ror_id
royal hosp,"['https://ror.org/03rq50d77', 'https://ror.org/003r53j91', 'https://ror.org/016kj2436', 'https://ror.org/05san5604', 'https://ror.org/03cb8f280', 'https://ror.org/01mwwwn80', 'https://ror.org/037m83a38', 'https://ror.org/05bsjqt55', 'https://ror.org/01ge67z96', 'https://ror.org/056vnsb08', 'https://ror.org/05xv66680', 'https://ror.org/03wnrjx87', 'https://ror.org/00dkg9f08', 'https://ror.org/02zzhpq74', 'https://ror.org/00k01kt20', 'https://ror.org/00c0kg894', 'https://ror.org/03cht9689', 'https://ror.org/01pxap840', 'https://ror.org/03kw6wr76', 'https://ror.org/02p2bgp27']"
ulster hosp,"['https://ror.org/01yp9g959', 'https://ror.org/04pmdg365', 'https://ror.org/02r0wp596']"
agrifood & biosci inst,"['https://ror.org/0363pts49', 'https://ror.org/02s7j7z43', 'https://ror.org/05kh5wx29', 'https://ror.org/0160cnc74', 'https://ror.org/033gfj842']"
action canc,"['https://ror.org/04hxzf837', 'https://ror.org/0232jr667', 'https://ror.org/04vrv9h08', 'https://ror.org/044v30149', 'https://ror.org/058kybv57', 'https://ror.org/00y9yvc25', 'https://ror.org/01amnkg95', 'https://ror.org/039neah40', 'https://ror.org/00kn38412', 'https://ror.org/02szcd955', 'https://ror.org/002wdx176', 'https://ror.org/00343zp30', 'https://ror.org/04mevkg92', 'https://ror.org/00p536462', 'https://ror.org/02mf6dg38', 'https://ror.org/007jmf435', 'https://ror.org/045krvc71', 'https://ror.org/04r5yj356', 'https://ror.org/05am5k237', 'https://ror.org/02pr0q451']"
armagh observ,['https://ror.org/04vhk9f59']
afbi,['https://ror.org/05c5y5q11']
antrim area hosp,"['https://ror.org/005t72d47', 'https://ror.org/01r3rjz42', 'https://ror.org/00b9tqm17', 'https://ror.org/00wvyk770', 'https://ror.org/01a53yy36', 'https://ror.org/04n7g4f11', 'https://ror.org/05njab859', 'https://ror.org/01sqn6v38', 'https://ror.org/05ybwtt56', 'https://ror.org/046581250', 'https://ror.org/03v4rcp75', 'https://ror.org/02f8z2f57', 'https://ror.org/03tmsgc53', 'https://ror.org/050dcex74', 'https://ror.org/02zb85s41', 'https://ror.org/03cngf009', 'https://ror.org/05xxmnm27', 'https://ror.org/05hzdqf47', 'https://ror.org/001fszg24', 'https://ror.org/04d5j6d22']"
NA,"['https://ror.org/0546dmt59', 'https://ror.org/05d3xvm78', 'https://ror.org/04h6dxr28', 'https://ror.org/00e2fqy76', 'https://ror.org/04scgfz75', 'https://ror.org/049zex268', 'https://ror.org/05scw8a36', 'https://ror.org/05581wm82', 'https://ror.org/039sshh33', 'https://ror.org/0135rsr71', 'https://ror.org/03czddz67', 'https://ror.org/05xefg082', 'https://ror.org/02tyrky19', 'https://ror.org/03265fv13', 'https://ror.org/00debpx34', 'https://ror.org/00r20e176', 'https://ror.org/009e9xr64', 'https://ror.org/02r6bnp18', 'https://ror.org/00shsf120', 'https://ror.org/03jd7ez57']"
royal victoria hosp,"['https://ror.org/03rq50d77', 'https://ror.org/01r89q997', 'https://ror.org/05gyj2g50', 'https://ror.org/01p19k166', 'https://ror.org/039q00p63', 'https://ror.org/00arwy491', 'https://ror.org/03z0mke78', 'https://ror.org/04mf3mq37', 'https://ror.org/03yvdgx21', 'https://ror.org/0500yaj74', 'https://ror.org/04j757h98', 'https://ror.org/014tg6596', 'https://ror.org/02sg1hf43', 'https://ror.org/02gdbm217', 'https://ror.org/008vpwk50', 'https://ror.org/02stzb903', 'https://ror.org/04s5mat29', 'https://ror.org/058bdpk86', 'https://ror.org/01zys7518', 'https://ror.org/01rrz9s51']"
royal belfast hosp sick children,"['https://ror.org/01cv0eh48', 'https://ror.org/01cb0kd74', 'https://ror.org/01w7h4t60', 'https://ror.org/03rq50d77', 'https://ror.org/01qgecw57', 'https://ror.org/00zn2c847', 'https://ror.org/04374qe70', 'https://ror.org/057q4rt57', 'https://ror.org/05tr67282', 'https://ror.org/000gxrm11', 'https://ror.org/025qedy81', 'https://ror.org/05hjs5k87', 'https://ror.org/05k0s5494', 'https://ror.org/04zjvnp94', 'https://ror.org/01p0a2d88', 'https://ror.org/02c2anw65', 'https://ror.org/02zw2vm28', 'https://ror.org/02z5b5082', 'https://ror.org/02405mj67', 'https://ror.org/003kr8v19']"
queens univ,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/03zcd8242', 'https://ror.org/02nf34254', 'https://ror.org/00strmv13', 'https://ror.org/00pw0pp06', 'https://ror.org/01jaw0925', 'https://ror.org/03v8adn41', 'https://ror.org/00vx8b766', 'https://ror.org/02ct4rh41', 'https://ror.org/011tz3351', 'https://ror.org/00xagtd33', 'https://ror.org/01j17xg39', 'https://ror.org/01cw77n16', 'https://ror.org/04sx5hw70']"
ctr infect & immun,"['https://ror.org/016nn6y69', 'https://ror.org/0502kph39', 'https://ror.org/01bkx5q50', 'https://ror.org/04x68p008']"
agri food & biosci inst,"['https://ror.org/036br4307', 'https://ror.org/0363pts49', 'https://ror.org/02s7j7z43', 'https://ror.org/011kc9d11', 'https://ror.org/05c5y5q11', 'https://ror.org/05nnsek89', 'https://ror.org/051dzs374', 'https://ror.org/030ykd126', 'https://ror.org/046qxha37', 'https://ror.org/0160cnc74', 'https://ror.org/04afrdx88', 'https://ror.org/04s1a2p79', 'https://ror.org/00eptcw48', 'https://ror.org/036n9m383', 'https://ror.org/00h0gj516', 'https://ror.org/058720m75', 'https://ror.org/0158j3249', 'https://ror.org/04tkgz835', 'https://ror.org/02ejpdc56', 'https://ror.org/054y2mb78']"
belfast city hosp,"['https://ror.org/02405mj67', 'https://ror.org/00c5bvm83', 'https://ror.org/03rq50d77', 'https://ror.org/01p0a2d88', 'https://ror.org/02c2anw65', 'https://ror.org/02zw2vm28', 'https://ror.org/02z5b5082', 'https://ror.org/003kr8v19', 'https://ror.org/00hc63q81', 'https://ror.org/00hswnk62', 'https://ror.org/01wa67h94', 'https://ror.org/015jwe732', 'https://ror.org/03t7fe423', 'https://ror.org/01cv0eh48', 'https://ror.org/02tdmfk69', 'https://ror.org/00pvhed30', 'https://ror.org/043z5qa52', 'https://ror.org/031zc8d88', 'https://ror.org/049ya5256', 'https://ror.org/02ktf7592']"
